State, rank10, STATE, 1.414042, 1.453895, 0.039853, 0.000000, MPI_Gather
State, rank10, STATE, 1.454127, 2.817801, 1.363673, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00278473, 2.82018, 2.8174, rank1
State, rank1, STATE, 0.002786, 0.002787, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.002787, 0.002788, 0.000001, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.002859, 0.040833, 0.037974, 0.000000, MPI_Scatter
State, rank1, STATE, 0.040834, 0.140877, 0.100043, 0.000000, MPI_Bcast
State, rank1, STATE, 1.677898, 1.678445, 0.000547, 0.000000, MPI_Gather
State, rank1, STATE, 1.678770, 2.820182, 1.141412, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00996828, 2.8201, 2.81013, rank0
State, rank0, STATE, 0.009969, 0.009970, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.009970, 0.009971, 0.000001, 0.000000, MPI_Comm_size
